% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.485020921e+01 +9.485020921e+01 +1.662002092e+02 +1.662002092e+02 -6.6470e-01 +7.4192e-01 -1.4952e+00 +2.1954e+00 +1.2167e-01 +3.2327e+00 -1.7013e+00 +2.0928e+00 +3.1868e+00 +9.7595e-02 +7.0316e-01 -3.1402e+00 -3.4787e+00 -1.9680e+00 -3.0704e+00 -3.7388e+00 +1.9140e+00 -1.9808e+00 -3.0195e-01 -1.1775e+00 +9.5149e-01 +5.0144e-02 +3.8182e+00 +2.7885e+00 +3.7655e+00 -2.3518e+00 +1.9332e-01 +2.1017e+00 -7.7711e-01 +2.7144e+00 +3.2933e-01 -1.7773e+00 +3.7229e+00 +8.8689e-02 -5.6173e-02 -3.9465e+00 +3.9666e-01 +1.9231e+00 +2.3803e+00 +1.0635e+00
22 +5.468876230e+01 +5.468876230e+01 +1.260387623e+02 +1.260387623e+02 -3.6708e+00 -1.9610e-01 +1.3823e-01 +2.6602e+00 -6.9784e-01 +3.2147e+00 -3.1501e+00 +2.2266e+00 +6.8732e+00 -2.8957e+00 -5.3996e+00 -2.3648e+00 -3.4114e+00 -1.4580e+00 -8.6247e-01 -3.2504e-01 -2.5838e+00 +5.5098e-01 -1.7008e+00 -3.2469e+00 +1.2480e+00 -2.8961e-01 +4.1470e+00 +2.7217e+00 +4.6768e+00 -4.0156e+00 +2.0788e+00 +3.3856e+00 +1.2172e+00 -4.6104e+00 -2.0057e+00 +1.6534e-02 +6.6074e+00 -5.7747e+00 +8.2330e-01 -6.3458e+00 +1.7426e+00 +3.0090e+00 -1.5409e+00 -1.4459e-01
3102 +3.653700606e+01 +3.653700606e+01 +1.078870061e+02 +1.078870061e+02 +1.9072e+00 +1.3256e+00 -2.4861e-01 +5.9713e+00 +2.7754e-01 +4.2287e+00 -3.8864e+00 +2.1830e+00 +7.8153e-02 -2.5919e+00 -3.8789e+00 -4.9254e+00 -5.4346e+00 -3.7654e+00 +3.3317e+00 -2.6457e+00 +2.5256e+00 +3.9120e+00 +4.3922e+00 -4.7738e+00 +3.8738e+00 +7.2600e+00 +2.5022e+00 +3.4859e+00 -2.4225e+00 -5.9615e+00 -3.1961e+00 +6.2700e+00 +5.2265e+00 +1.0286e+00 -3.5656e+00 -3.5427e+00 -2.5354e+00 -3.1800e+00 +1.3233e+00 -4.4618e+00 -3.2318e+00 +9.2922e+00 +5.1590e+00 +5.1711e+00
3828 +2.276243919e+01 +2.276243919e+01 +9.411243919e+01 +9.411243919e+01 +6.7216e-01 +2.0542e+00 -1.3132e+00 +7.0519e+00 -3.7193e-01 +4.4786e+00 -5.5114e+00 +2.4176e+00 -3.7301e-01 -3.7353e+00 -3.6151e+00 -4.7661e+00 -5.8262e+00 -3.0898e+00 +3.9806e+00 -5.0600e+00 +4.2718e+00 +2.9197e+00 +5.6717e+00 -3.3656e+00 +4.1671e+00 +4.0962e+00 +1.4028e+00 +4.5692e+00 -9.3181e-01 -5.5127e+00 -2.3797e+00 +6.9835e+00 +4.8319e+00 +9.9461e-01 -4.6375e+00 -4.2170e+00 -4.0652e+00 -5.1197e+00 -5.6616e-01 -4.5663e+00 -4.6104e+00 +6.6196e+00 +5.6380e+00 +6.1055e+00
4254 +1.377699775e+01 +1.377699775e+01 +8.512699775e+01 +8.512699775e+01 +1.2985e+00 +1.5812e+00 -1.5120e+00 +6.6741e+00 -7.3153e-01 +5.2319e+00 -3.9307e+00 +2.7515e+00 -8.8793e-01 -4.1112e+00 -3.5249e+00 -4.4432e+00 -5.2799e+00 -2.2230e+00 +3.2820e+00 -5.2015e+00 +4.7029e+00 +3.5752e+00 +5.8461e+00 -3.8831e+00 +4.6699e+00 +4.2770e+00 +1.0793e+00 +4.9126e+00 -1.1381e+00 -6.0125e+00 -2.2290e+00 +7.1067e+00 +5.3484e+00 +7.2214e-01 -5.4472e+00 -4.4405e+00 -5.0014e+00 -4.7078e+00 -5.9563e-01 -4.9600e+00 -4.0974e+00 +6.4729e+00 +5.7444e+00 +4.9776e+00
4457 +9.917894654e+00 +9.917894654e+00 +8.126789465e+01 +8.126789465e+01 +1.5945e+00 +1.5029e+00 -1.7237e+00 +6.6283e+00 -4.5255e-01 +5.5659e+00 -4.1364e+00 +2.7071e+00 -1.1631e+00 -4.3077e+00 -3.7080e+00 -4.2524e+00 -5.4006e+00 -2.5782e+00 +3.7916e+00 -4.8183e+00 +5.3954e+00 +3.3924e+00 +5.5163e+00 -3.7373e+00 +4.6108e+00 +3.6979e+00 +1.2154e+00 +4.7529e+00 -1.0818e+00 -5.9504e+00 -2.0578e+00 +7.1684e+00 +5.7093e+00 +9.0918e-01 -5.3667e+00 -4.4307e+00 -5.0270e+00 -4.6780e+00 -1.2089e-01 -4.9247e+00 -4.3657e+00 +6.1022e+00 +5.7963e+00 +4.9617e+00
5122 +6.308467894e+00 +6.308467894e+00 +7.765846789e+01 +7.765846789e+01 +1.6382e+00 +1.5087e+00 -1.8007e+00 +6.1876e+00 -5.5131e-01 +5.7622e+00 -3.9472e+00 +2.8355e+00 -1.5595e+00 -4.2040e+00 -3.4928e+00 -4.4583e+00 -5.4045e+00 -2.5676e+00 +3.7223e+00 -4.8496e+00 +5.3779e+00 +3.4480e+00 +5.3782e+00 -3.5679e+00 +4.6320e+00 +4.0672e+00 +1.1836e+00 +4.9724e+00 -1.0413e+00 -6.1375e+00 -1.8471e+00 +7.0985e+00 +5.6794e+00 +9.1093e-01 -5.3857e+00 -4.1648e+00 -5.0305e+00 -4.3670e+00 -2.9758e-01 -4.9780e+00 -4.2196e+00 +5.9516e+00 +6.0593e+00 +4.9690e+00
6426 +3.917622058e+00 +3.917622058e+00 +7.526762206e+01 +7.526762206e+01 +1.6036e+00 +1.4823e+00 -1.6480e+00 +6.1819e+00 -4.5654e-01 +5.8426e+00 -3.7186e+00 +2.8015e+00 -1.5814e+00 -4.3005e+00 -3.5651e+00 -4.2922e+00 -5.2546e+00 -2.6505e+00 +4.0036e+00 -4.8261e+00 +5.5674e+00 +3.4591e+00 +5.2878e+00 -3.7254e+00 +4.7415e+00 +3.8900e+00 +1.3116e+00 +4.9958e+00 -9.9321e-01 -6.1831e+00 -1.9635e+00 +6.9694e+00 +5.5567e+00 +7.2226e-01 -5.2913e+00 -4.3175e+00 -5.1169e+00 -4.3650e+00 -4.7764e-02 -4.9964e+00 -4.3828e+00 +5.8539e+00 +5.8727e+00 +5.1373e+00
38363 +2.510337119e+00 +2.510337119e+00 +7.386033712e+01 +7.386033712e+01 +2.4782e+00 -3.4272e+00 +2.1920e+00 -2.6398e+00 -2.7760e+00 +2.2268e+00 +9.2899e-01 -1.2943e+00 +4.0628e+00 -3.8772e+00 -1.5297e+00 -6.0731e+00 -1.7637e+00 +3.9670e+00 -3.6894e+00 +5.2712e+00 +4.3241e+00 -2.9688e+00 +2.2915e+00 -6.1059e-01 -2.2212e+00 -2.2486e+00 +2.7346e+00 +6.1781e+00 +3.4305e-01 +1.1212e+00 +5.3328e+00 -1.2083e+00 -3.0526e+00 -4.6943e+00 +4.0039e+00 +1.0249e+00 -6.4632e+00 +1.3291e+00 -3.0671e+00 +4.0534e-01 -2.9288e+00 -1.1734e+00 -5.6068e+00 +5.6297e-01
72999 +1.489525058e+00 +1.489525058e+00 +7.283952506e+01 +7.283952506e+01 -3.6199e+00 +8.3078e-03 -1.1540e+00 -2.8003e-01 -2.0863e+00 -5.9964e-01 +3.7379e+00 +2.0372e+00 -9.2895e-01 +2.6972e+00 -1.5181e+00 -3.0974e-01 -5.0882e+00 -1.8935e+00 +7.0456e-01 +3.1928e+00 +1.9183e+00 -1.3097e+00 +2.9472e+00 -8.4183e-01 -1.7059e+00 -1.1287e+00 +4.3653e-01 +4.4512e+00 -3.8774e+00 -2.3992e+00 +3.3151e+00 -7.7844e-01 -1.5782e+00 +2.8525e-01 -5.6681e+00 -4.8782e+00 -4.5142e+00 +1.1927e+00 +4.4848e+00 -5.1247e+00 +8.2090e-01 -5.5705e+00 +2.1459e+00 +2.7853e-01
